0,1,2
25.4,7.8,5.3
25.5,7.8,5.3
25.6,7.8,5.3
25.7,7.8,5.3
25.8,7.8,5.3
25.9,7.8,5.3
26.0,7.8,5.3
26.1,7.8,5.3
26.2,7.8,5.3
26.3,7.8,5.3
26.4,7.8,5.3
26.5,7.8,5.3
26.6,7.8,5.3
26.7,7.8,5.3
26.8,7.8,5.3
26.9,7.8,5.3
27.0,7.8,5.3
27.1,7.8,5.3
27.2,7.8,5.3
27.3,7.8,5.3
27.4,7.8,5.3
27.5,7.8,5.3
27.6,7.8,5.3
27.7,7.8,5.3
27.8,7.8,5.3
27.9,7.8,5.3
28.0,7.8,5.3
28.1,7.8,5.3
28.2,7.8,5.3
28.3,7.8,5.3
28.4,7.8,5.3
28.5,7.8,5.3
28.6,7.8,5.3
28.7,7.8,5.3
28.8,7.8,5.3
28.9,7.8,5.3
29.0,7.8,5.3
29.1,7.8,5.3
29.2,7.8,5.3
29.3,7.8,5.3
29.4,7.8,5.3
29.5,7.8,5.3
29.6,7.8,5.3
29.7,7.8,5.3
29.8,7.8,5.3
29.9,7.8,5.3
30.0,7.8,5.3
30.1,7.8,5.3
30.2,7.8,5.3
30.3,7.8,5.3
30.4,7.8,5.3
30.5,7.8,5.3
30.6,7.8,5.3
30.7,7.8,5.3
30.8,7.8,5.3
30.9,7.8,5.3
31.0,7.8,5.3
31.1,7.8,5.3
31.2,7.8,5.3
31.3,7.8,5.3
31.4,7.8,5.3
31.5,7.8,5.3
31.6,7.8,5.3
31.7,7.8,5.3
31.8,7.8,5.3
31.9,7.8,5.3
32.0,7.8,5.3
32.1,7.8,5.3
32.2,7.8,5.3
32.3,7.8,5.3
32.4,7.8,5.3
32.5,7.8,5.3
32.6,7.8,5.3
32.7,7.8,5.3
32.8,7.8,5.3
32.9,7.8,5.3
33.0,7.8,5.3
33.1,7.8,5.3
33.2,7.8,5.3
33.3,7.8,5.3
33.4,7.8,5.3
33.5,7.8,5.3
33.6,7.8,5.3
33.7,7.8,5.3
33.8,7.8,5.3
33.9,7.8,5.3
34.0,7.8,5.3
34.1,7.8,5.3
34.2,7.8,5.3
34.3,7.8,5.3
34.4,7.8,5.3
34.5,7.8,5.3
34.6,7.8,5.3
34.7,7.8,5.3
34.8,7.8,5.3
34.9,7.8,5.3
35.0,7.8,5.3
35.1,7.8,5.3
35.2,7.8,5.3
35.3,7.8,5.3
35.4,7.8,5.3
35.5,7.8,5.3
35.6,7.8,5.3
35.7,7.8,5.3
35.8,7.8,5.3
35.9,7.8,5.3
36.0,7.8,5.3
36.1,7.8,5.3
36.2,7.8,5.3
36.3,7.8,5.3
36.4,7.8,5.3
36.5,7.8,5.3
36.6,7.8,5.3
36.7,7.8,5.3
36.8,7.8,5.3
36.9,7.8,5.3
37.0,7.8,5.3
37.1,7.8,5.3
37.2,7.8,5.3
37.3,7.8,5.3
37.4,7.8,5.3
37.5,7.8,5.3
37.6,7.8,5.3
37.7,7.8,5.3
37.8,7.8,5.3
37.9,7.8,5.3
38.0,7.8,5.3
38.1,7.8,5.3
38.2,7.8,5.3
38.3,7.8,5.3
38.4,7.8,5.3
38.5,7.8,5.3
38.6,7.8,5.3
38.7,7.8,5.3
38.8,7.8,5.3
38.9,7.8,5.3
39.0,7.8,5.3
39.1,7.8,5.3
39.2,7.8,5.3
39.3,7.8,5.3
39.4,7.8,5.3
39.5,7.8,5.3
39.6,7.8,5.3
39.7,7.8,5.3
39.8,7.8,5.3
39.9,7.8,5.3
40.0,7.8,5.3
40.1,7.8,5.3
40.2,7.8,5.3
40.3,7.8,5.3
40.4,7.8,5.3
40.5,7.8,5.3
40.6,7.8,5.3
40.7,7.8,5.3
40.8,7.8,5.3
40.9,7.8,5.3
41.0,7.8,5.3
41.1,7.8,5.3
41.2,7.8,5.3
41.3,7.8,5.3
41.4,7.8,5.3
41.5,7.8,5.3
41.6,7.8,5.3
41.7,7.8,5.3
41.8,7.8,5.3
41.9,7.8,5.3
42.0,7.8,5.3
42.1,7.8,5.3
42.2,7.8,5.3
42.3,7.8,5.3
42.4,7.8,5.3
42.5,7.8,5.3
42.6,7.8,5.3
42.7,7.8,5.3
42.8,7.8,5.3
42.9,7.8,5.3
43.0,7.8,5.3
43.1,7.8,5.3
43.2,7.8,5.3
43.3,7.8,5.3
43.4,7.8,5.3
43.5,7.8,5.3
43.6,7.8,5.3
43.7,7.8,5.3
43.8,7.8,5.3
43.9,7.8,5.3
44.0,7.8,5.3
44.1,7.8,5.3
44.2,7.8,5.3
44.3,7.8,5.3
44.4,7.8,5.3
44.5,7.8,5.3
44.6,7.8,5.3
44.7,7.8,5.3
44.8,7.8,5.3
44.9,7.8,5.3
45.0,7.8,5.3
45.1,7.8,5.3
45.2,7.8,5.3
45.3,7.8,5.3
45.4,7.8,5.3
45.5,7.8,5.3
45.6,7.8,5.3
45.7,7.8,5.3
45.8,7.8,5.3
45.9,7.8,5.3
46.0,7.8,5.3
46.1,7.8,5.3
46.2,7.8,5.3
46.3,7.8,5.3
46.4,7.8,5.3
46.5,7.8,5.3
46.6,7.8,5.3
46.7,7.8,5.3
46.8,7.8,5.3
46.9,7.8,5.3
47.0,7.8,5.3
47.1,7.8,5.3
47.2,7.8,5.3
47.3,7.8,5.3
47.4,7.8,5.3
47.5,7.8,5.3
47.6,7.8,5.3
47.7,7.8,5.3
47.8,7.8,5.3
47.9,7.8,5.3
